Id หลัก,Facter ID,กลุ่มหัวข้อ,โค้ดการประเมิน,ชื่อ competency,ตัวอย่าง,น้ำหนัก,Target,คะแนน 1,คะแนน 2,คะแนน 3,คะแนน 4,คะแนน 5,,
,5,227,PPSV-201908-766,-  กำหนดเป้าหมายเพื่อสร้างภาพลักษณ์ที่ดี และสร้างรายได้ให้กับโรงพยาบาลได้เหมาะสมกับงบประมาณที่ขออนุมัติ,,1.8,3,เข้าใจ,ทำได้,เสนอแนะ,พัฒนา ,สอนงาน,,
,5,227,PPSV-201908-766,-  กำหนดวัตถุประสงค์ที่เกิดประโยชน์กับกลุ่มเป้าหมายของโรงพยาบาลได้,,1.8,3,เข้าใจ,ทำได้,เสนอแนะ,พัฒนา ,สอนงาน,,
,5,227,PPSV-201908-766,-  มีความรู้ความเข้าใจเบื้องต้นในการเขียนโครงการด้านการตลาด,,1.8,3,เข้าใจ,ทำได้,เสนอแนะ,พัฒนา ,สอนงาน,,
,5,227,PPSV-201908-766,-  สามารถเขียนโครงการ และสรุปผลของโครงการได้เสร็จทันเวลาที่กำหนด,,1.8,3,เข้าใจ,ทำได้,เสนอแนะ,พัฒนา ,สอนงาน,,
,5,227,PPSV-201908-766,-  สามารถนำเสนอโครงการด้านการตลาดให้ตรงกลุ่มเป้าหมายของโรงพยาบาล,,1.8,3,เข้าใจ,ทำได้,เสนอแนะ,พัฒนา ,สอนงาน,,
,5,227,PPSV-201908-766,-  สามารถวิเคราะห์และมีแนวทางแก้ไขปัญหาในโครงการที่ไม่ประสบความสำเร็จตามเป้าหมายที่ตั้งไว้ในโครงการ,,1.8,3,เข้าใจ,ทำได้,เสนอแนะ,พัฒนา ,สอนงาน,,
,5,227,PPSV-201908-766,"การนำเสนอโครงการใหม่ๆ ต่อจากโครงการเดิม
-  สามารถนำข้อมูล หรือผลที่ได้จากการจัดโครงการที่จัดทำไปแล้วมาประยุกต์ใช้ในการเขียนโครงการใหม่ๆ เพื่อต่อยอดจากโครงการเดิม",,1.8,3,เข้าใจ,ทำได้,เสนอแนะ,พัฒนา ,สอนงาน,,
,5,227,PPSV-201908-766,"ความเชี่ยวชาญในการเขียนโครงการ
-  มีความเชี่ยวชาญในการเขียนโครงการด้านการตลาด จนสามารถให้คำแนะนำกับเพื่อนร่วมงานได้",,1.8,3,เข้าใจ,ทำได้,เสนอแนะ,พัฒนา ,สอนงาน,,
,5,227,PPSV-201908-766,"ความรู้เบื้องต้นในการเขียนโครงการ
-  มีความรู้ความเข้าใจเบื้องต้นในหลักการ และทฤษฎีทางการตลาดที่สนับสนุนการเขียนโครงการ",,1.8,3,เข้าใจ,ทำได้,เสนอแนะ,พัฒนา ,สอนงาน,,
,5,227,PPSV-201908-766,"ความสามารถในการเขียนโครงการ
 - สามารถนำเสนอโครงการด้านการตลาดได้เหมาะสมกับสถานการณ์",,1.8,3,เข้าใจ,ทำได้,เสนอแนะ,พัฒนา ,สอนงาน,,
,5,227,PPSV-201908-766,"ความสามารถในการกำหนดวัตถุประสงค์และเป้าหมาย 
-  กำหนดวัตถุประสงค์ของโครงการให้มีความสอดคล้องกับการบริการที่มีอยู่ในโรงพยาบาล และสร้างการรับรู้สู่สาธารณชนได้",,1.8,3,เข้าใจ,ทำได้,เสนอแนะ,พัฒนา ,สอนงาน,,
,5,224,PPSV-201908-766,- ใช้โปรแกรมคอมพิวเตอร์  Microsoft Excel ในการปฏิบัติงานได้,,1.7,3,เข้าใจ,ทำได้,เสนอแนะ,พัฒนา ,สอนงาน,,
,5,224,PPSV-201908-766,- ใช้โปรแกรมคอมพิวเตอร์ Microsoft Powerpoint ในการปฏิบัติงานได้,,1.7,3,เข้าใจ,ทำได้,เสนอแนะ,พัฒนา ,สอนงาน,,
,5,224,PPSV-201908-766,- สามารถแนะนำการใช้งาน แก้ไขปัญหาจากการใช้ Intranet และ Internet ได้,,1.7,3,เข้าใจ,ทำได้,เสนอแนะ,พัฒนา ,สอนงาน,,
,5,224,PPSV-201908-766,- สามารถใช้โปรแกรม MS Excel ในการวิเคราะห์ข้อมูลเบื้องต้นได้,,1.7,3,เข้าใจ,ทำได้,เสนอแนะ,พัฒนา ,สอนงาน,,
,5,224,PPSV-201908-766,- สามารถใช้ระบบงานเอกสารของหน่วยงานใน Intranet ได้,,1.7,3,เข้าใจ,ทำได้,เสนอแนะ,พัฒนา ,สอนงาน,,
,5,224,PPSV-201908-766,- สามารถนำเสนองานผลงานด้วยโปรแกรม Powerpoint  ได้,,1.7,3,เข้าใจ,ทำได้,เสนอแนะ,พัฒนา ,สอนงาน,,
,5,224,PPSV-201908-766,- สามารถสืบค้นข้อมูล (Search Engine) จากแหล่งข้อมูลได้,,1.7,3,เข้าใจ,ทำได้,เสนอแนะ,พัฒนา ,สอนงาน,,
,5,224,PPSV-201908-766,"ใช้โปรแกรมคอมพิวเตอร์ Microsolf Office ได้ 
- ใช้โปรแกรมคอมพิวเตอร์  Microsoft Word  ในการปฏิบัติงานได้",,1.7,3,เข้าใจ,ทำได้,เสนอแนะ,พัฒนา ,สอนงาน,,
,5,224,PPSV-201908-766,"ใช้โปรแกรมคอมพิวเตอร์ในการนำเสนอผลงานได้
- สามารถนำข้อมูลต่างๆ จัดทำใน Power Point เพื่อนำเสนองานผลงานหรือ รายงานได้",,1.7,3,เข้าใจ,ทำได้,เสนอแนะ,พัฒนา ,สอนงาน,,
,5,224,PPSV-201908-766,"ใช้โปรแกรมคอมพิวเตอร์ในการวิเคราะห์ข้อมูล 
- สามารถนำข้อมูลต่างๆ ที่เป็นตัวเลขสำหรับวิเคราะห์บันทึกใน  Microsoft Excel",,1.7,3,เข้าใจ,ทำได้,เสนอแนะ,พัฒนา ,สอนงาน,,
,5,224,PPSV-201908-766,"ใช้ระบบ Intranet ภายในโรงพยาบาล และ Internet ได้
- สามารถใช้ E-Mail ในการติดต่อสื่อสารประสานงานได้",,1.7,3,เข้าใจ,ทำได้,เสนอแนะ,พัฒนา ,สอนงาน,,
,5,224,PPSV-201908-766,"ให้คำแนะนำแก้ไขปัญหาจากการทำงานบนสารสนเทศให้กับเพื่อนร่วมงานได้
- สามารถแนะนำการใช้งาน แก้ไขปัญหาจากการใช้โปรแกรมสำเร็จรูป MS Office ได้",,1.7,3,เข้าใจ,ทำได้,เสนอแนะ,พัฒนา ,สอนงาน,,
,5,231,PPSV-201908-766,แจ้งให้ผู้รับบริการทราบความคืบหน้าของงาน,,2,3,เข้าใจ,ทำได้,เสนอแนะ,พัฒนา ,สอนงาน,,
,5,231,PPSV-201908-766,แสวงหาวิธีการอื่นๆที่ดี/เหมาะสมเพื่อตอบสนองความต้องการ / หรือเกินความต้องการของผู้รับบริการ,,2,3,เข้าใจ,ทำได้,เสนอแนะ,พัฒนา ,สอนงาน,,
,5,231,PPSV-201908-766,ให้เวลาและคอยช่วยเหลือผู้รับบริการ เมื่อผู้รับบริการประสบปัญหาความยุ่งยาก,,2,3,เข้าใจ,ทำได้,เสนอแนะ,พัฒนา ,สอนงาน,,
,5,231,PPSV-201908-766,"ให้ข้อมูลหรือคำแนะนำเกี่ยวกับงานที่ ให้บริการอย่างถูกต้องชัดเจน
",,2,3,เข้าใจ,ทำได้,เสนอแนะ,พัฒนา ,สอนงาน,,
,5,231,PPSV-201908-766,ให้ข้อมูลหรือคำแนะนำที่เป็นประโยชน์แก่ผู้รับบริการแม้ว่าผู้รับบริการไม่ได้ถามถึงหรือไม่ทราบมาก่อน,,2,3,เข้าใจ,ทำได้,เสนอแนะ,พัฒนา ,สอนงาน,,
,5,231,PPSV-201908-766,ให้ความช่วยเหลือผู้มารับบริการอย่างกระตือรือร้น,,2,3,เข้าใจ,ทำได้,เสนอแนะ,พัฒนา ,สอนงาน,,
