,PPSV-202003-001,PPSV Hospital KPIs,1
,PPSV-202003-002,PPSV - DEP - MED,2
,PPSV-202003-003,PPSV - DEP - SURG,2
,PPSV-202003-004,PPSV - DEP - PED,2
,PPSV-202003-005,PPSV - DEP - DENT,2
,PPSV-202003-006,PPSV - DEP - OB-GYN,2
,PPSV-202003-007,PPSV - DEP - HEMO,2
,PPSV-202003-008,PPSV - DEP - ER,2
,PPSV-202003-009,PPSV - DEP - HEART,2
,PPSV-202003-010,PPSV - DEP - GICENTER,2
,PPSV-202003-011,PPSV - DEP - ICU,2
,PPSV-202003-012,PPSV - DEP - WARD3,2
,PPSV-202003-013,PPSV - DEP - WARD4,2
,PPSV-202003-014,PPSV - DEP - WARD5-6,2
,PPSV-202003-015,PPSV - DEP - WARD7-8,2
,PPSV-202003-016,PPSV - DEP - OR,2
,PPSV-202003-017,PPSV - DEP - CSSD,2
,PPSV-202003-018,PPSV - DEP - PHARMACY,2
,PPSV-202003-019,PPSV - DEP - X-RAY,2
,PPSV-202003-020,PPSV - DEP - LAB,2
,PPSV-202003-021,PPSV - DEP - REHAB,2
,PPSV-202003-022,PPSV - DEP - NUTRITION,2
,PPSV-202003-023,PPSV - DEP - CRM,2
,PPSV-202003-024,PPSV - DEP - MEDRECORD,2
,PPSV-202003-025,PPSV - DEP - UR,2
,PPSV-202003-026,PPSV - DEP - ADMIT,2
,PPSV-202003-027,PPSV - DEP - OPERATOR,2
,PPSV-202003-028,PPSV - DEP - PORTER,2
,PPSV-202003-029,PPSV - DEP - MARCOM,2
,PPSV-202003-030,PPSV - DEP - SECRETARY,2
,PPSV-202003-031,PPSV - DEP - SUPERVISOR,2
,PPSV-202003-032,PPSV - DEP - CANTEEN,2
,PPSV-202003-033,PPSV - DEP - MAINT,2
,PPSV-202003-034,PPSV - DEP - MED-EQUIP,2
,PPSV-202003-035,PPSV - DEP - GSD,2
,PPSV-202003-036,PPSV - DEP - TRANSPORT,2
,PPSV-202003-037,PPSV - DEP - CASHIER,2
,PPSV-202003-038,PPSV - DEP - QMC,2
,PPSV-202003-039,PPSV - DEP - CHECK-UP,2
