Id หลัก,Facter ID,ประเภทการคิด,กลุ่มหัวข้อ,โค้ดการประเมิน,ชื่อ KPI,น้ำหนัก,Target,คะแนน 1,คะแนน 2,คะแนน 3,คะแนน 4,คะแนน 5
,2,3,1,PPCH-202003-002,Revenue Growth,20,15.4,5.9,6-8.9,9-11.9,12-14.9,15
,2,3,1,PPCH-202003-002,%ROS,10,50,29,30-34,35-39,40-44,45
,2,3,3,PPCH-202003-002,Job Growth,15,7.2,2.9,3-3.9,4-4.9,5-6.9,7
,2,1,3,PPCH-202003-002,จำนวนครั้งของข้อร้องเรียนเกี่ยวกับพฤติกรรมบริการ,15,3,7,6,5,4,3
,2,2,4,PPCH-202003-002,OPD Waiting Time(Non-investigate) < 30 min. (Consult Start),5,80,49,50-59,60-69,70-79,80
,2,1,4,PPCH-202003-002,IPSG1 การระบุตัวผู้ป่วยผิดพลาด,5,0,4,3,2,1,0
,2,2,4,PPCH-202003-002,Medication error : Admin Error,5,0.5,1.26,1.25-1.01,1-0.76,0.75-0.6,0.5
,2,2,4,PPCH-202003-002,Apppointment rate,5,100,69,70-79,80-89,90-99,100
,2,1,4,PPCH-202003-002,Follow up rate (กลุ่ม NCD),5,70,54,55-59,60-64,65-69,70
,2,2,4,PPCH-202003-002,อัตราการทบทวน Incident Report ของหน่วยงาน,5,100,69,70-79,80-89,90-99,100
,2,3,5,PPCH-202003-002,อัตราบุคลากรได้รับการ Training ตามแผนอบรมรายบุคคล IDP,10,80,64,65-69,70-74,75-79,80
,2,3,1,PPCH-202003-003,Revenue Growth,20,4.3,3.4,3.5-3.9,4-4.4,4.5-4.9,4
,2,3,1,PPCH-202003-003,%ROS,10,50,29,30-34,35-39,40-44,45
,2,3,3,PPCH-202003-003,Job Growth,15,0.2,0.19,0.2-0.29,0.3-0.39,0.4-0.49,0.5
,2,1,3,PPCH-202003-003,จำนวนข้อร้องเรียนด้านพฤติกรรมบริการจากผู้รับบริการ,15,3,7,6,5,4,3
,2,2,4,PPCH-202003-003,อัตราการคัดแยกผู้ป่วยและดูแลได้ทันเวลาที่กำหนด (Resus-Emer),4,100,69,70-79,80-89,90-99,100
,2,2,4,PPCH-202003-003,Door to EKG (ACS case)  5 min,4,100,69,70-79,80-89,90-99,100
,2,2,4,PPCH-202003-003,Door to CT (STROKE fast track)  15 min,4,100,69,70-79,80-89,90-99,100
,2,2,4,PPCH-202003-003,Traffic accident Admission rate ,3,80,49,50-59,60-69,70-79,80
,2,2,4,PPCH-202003-003,Admission rate after midnight,3,80,49,50-59,60-69,70-79,80
,2,2,4,PPCH-202003-003,UCEP Pre-Authorize < 24 hr (ยกเว้นเคสนัดหมาย),3,80,49,50-59,60-69,70-79,80
,2,2,4,PPCH-202003-003,Medication error : Admin Error,4,0.5,1.26,1.25-1.01,1-0.76,0.75-0.6,0.5
,2,2,4,PPCH-202003-003,อัตราการทบทวน Incident Report ของหน่วยงาน,5,100,69,70-79,80-89,90-99,100
,2,3,5,PPCH-202003-003,อัตราบุคลากรได้รับการ Training ตามแผนอบรมรายบุคคล IDP,10,80,64,65-69,70-74,75-79,0.8
,2,2,397,PPCH-202003-003,Customer Satisfaction Index,0,95,,,,,
,2,3,1,PPCH-202003-004,Revenue Growth,20,26.3,16.9,17-19.9,20-22.9,23-25.9,26
,2,3,1,PPCH-202003-004,%ROS,10,60,36,37-43,44-50,51-57,58
,2,3,3,PPCH-202003-004,Job Growth,15,40.9,24,25-29.9,30-34.9,35-39.9,40
,2,1,3,PPCH-202003-004,จำนวนข้อร้องเรียนด้านพฤติกรรมบริการจากผู้รับบริการ,15,3,7,6,5,4,3
,2,1,4,PPCH-202003-004,จำนวนครั้งที่อุปกรณ์การแพทย์เลื่อนหลุด,5,0,2,,1,,0
,2,1,4,PPCH-202003-004,จำนวนการเกิดอุบัติการณ์ภาวะ Phlebitis ระดับ 2 ขึ้นไป,5,0,2,,1,,0
,2,1,4,PPCH-202003-004,จำนวนครั้งในการเกิดพลัดตกหกล้ม,5,0,4,3,2,1,0
,2,2,4,PPCH-202003-004,Medication error : Admin Error,5,2,3.6,3.5-3.1,3-2.6,2.5-2.1,2
,2,2,4,PPCH-202003-004,อัตราความสมบูรณ์ของการบันทึกทางการพยาบาล,5,90,74,75-79,80-84,85-89,90
,2,2,4,PPCH-202003-004,อัตราการทบทวน Incident Report ของหน่วยงาน,5,100,69,70-79,80-89,90-99,100
,2,3,5,PPCH-202003-004,อัตราบุคลากรได้รับการ Training ตามแผนอบรมรายบุคคล IDP,10,80,64,65-69,70-74,75-79,80
,2,1,398,PPCH-202003-004,อุบัติการณ์การเกิดปอดอักเสบจากการใช้เครื่องช่วยหายใจ,0,0,,,,,
,2,1,398,PPCH-202003-004,อุบัติการณ์การเกิดทางเดินปัสสาวะอักเสบจากการคาสายสวน,0,0,,,,,
,2,1,398,PPCH-202003-004,จำนวนครั้งในการเกิดแผลกดทับระดับ 2 ขึ้นไป,0,0,,,,,
,2,3,1,PPCH-202003-005,Revenue Growth,20,12.3,8.9,9-9.9,10-10.9,11-11.9,12
,2,3,1,PPCH-202003-005,%ROS,10,50,29,30-34,35-39,40-44,45
,2,3,3,PPCH-202003-005,Job Growth,15,8.8,2.9,3-4.9,5-6.9,7-8.9,9
,2,1,3,PPCH-202003-005,จำนวนข้อร้องเรียนด้านพฤติกรรมบริการจากผู้รับบริการ,15,3,7,6,5,4,3
,2,2,4,PPCH-202003-005,Medication error : Admin Error,5,0.5,1.26,1.25-1.01,1-0.76,0.75-0.6,0.5
,2,1,4,PPCH-202003-005,จำนวนผ่าตัดผิดคน ผิดข้าง ผิดตำแหน่ง ผิดหัตถการ,4,0,4,3,2,1,0
,2,2,4,PPCH-202003-005,เปิดห้องผ่าตัดฉุกเฉินภายใน 30 นาที,4,100,69,70-79,80-89,90-99,100
,2,1,4,PPCH-202003-005,SSI (แผลผ่าตัดสะอาดติดเชื้อ),4,0,4,3,2,1,0
,2,1,4,PPCH-202003-005,การเลื่อนผ่าตัด,4,2,6,5,4,3,2
,2,2,4,PPCH-202003-005,การเยี่ยมเคสผ่าตัด Case Major,4,100,69,70-79,80-89,90-99,100
,2,2,4,PPCH-202003-005,อัตราการทบทวน Incident Report ของหน่วยงาน,5,100,69,70-79,80-89,90-99,100
,2,3,5,PPCH-202003-005,อัตราบุคลากรได้รับการ Training ตามแผนอบรมรายบุคคล IDP,10,80,64,65-69,70-74,75-79,80
,2,1,3,PPCH-202003-006,จำนวนข้อร้องเรียนด้านพฤติกรรมบริการจากผู้รับบริการ,15,3,7,6,5,4,3
,2,1,4,PPCH-202003-006,จำนวนครั้งที่ส่งมอบทารกผิดคน,10,0,2,,1,,0
,2,2,4,PPCH-202003-006,การเตรียมคลอดฉุกเฉิน ภายใน 15 นที( Case Distress),11,100,84,85-89,90-94,95-99,100
,2,2,4,PPCH-202003-006,Medication error : Admin Error,11,0.5,1.26,1.25-1.01,1-0.76,0.75-0.6,0.5
,2,1,4,PPCH-202003-006,จำนวนครั้งในการเกิดพลัดตกหกล้ม,11,0,4,3,2,1,0
,2,1,4,PPCH-202003-006,การติดเชื้อที่สะดือทารกแรกเกิด,11,0,4,3,2,1,0
,2,1,4,PPCH-202003-006,จำนวนครั้งที่เกิดภาวะแทรกซ้อนจากกการส่องไฟ ( NS),11,0,4,3,2,1,0
,2,2,4,PPCH-202003-006,อัตราความสมบูรณ์ของการบันทึกทางการพยาบาล,5,90,74,75-79,80-84,85-89,90
,2,2,4,PPCH-202003-006,อัตราการทบทวน Incident Report ของหน่วยงาน,5,100,89,70-79,80-89,90-99,100
,2,3,5,PPCH-202003-006,อัตราบุคลากรได้รับการ Training ตามแผนอบรมรายบุคคล IDP,10,80,64,65-69,70-74,75-79,80
,2,3,1,PPCH-202003-007,IPD Revenue Growth,20,25.1,9.9,10-14.9,15-19.9,20-24.9,25
,2,3,1,PPCH-202003-007,%ROS,10,55,33.9,34-39.5,40.5-46,47-52.5,53.5
,2,3,3,PPCH-202003-007,Job Growth,15,19.5,9.9,10-12.9,13-15.9,16-18.9,19
,2,1,3,PPCH-202003-007,จำนวนข้อร้องเรียนเกี่ยวกับพฤติกรรมบริการ,15,3,7,6,5,4,3
,2,2,4,PPCH-202003-007,Discharge Waiting Time - Self-pay < 60 min.(แพทย์สั่งD/C-Financial D/C),2.5,90,59,60-69,70-79,80-89,90
,2,2,4,PPCH-202003-007,Discharge Waiting Time  -  Insurance < 120 min.(แพทย์สั่งD/C-Financial D/C),2.5,90,59,60-69,70-79,80-89,90
,2,2,4,PPCH-202003-007,Medication error : Admin Error,5,2,3.6,3.5-3.1,3-2.6,2.5-2.1,2
,2,1,4,PPCH-202003-007,Unplanned ICU  ,3,0,4,3,2,1,0
,2,1,4,PPCH-202003-007,จำนวนการเกิดอุบัติการณ์ภาวะ Phlebitis ระดับ 2 ขึ้นไป,2,0,4,3,2,1,0
,2,2,4,PPCH-202003-007,อัตราความสมบูรณ์ของการบันทึกทางการพยาบาล,5,90,59,60-69,70-79,80-89,90
,2,1,4,PPCH-202003-007,จำนวนการเกิดอุบัติการณ์การเกิดพลัดตกหกล้ม,5,0,4,3,2,1,0
,2,2,4,PPCH-202003-007,อัตราการทบทวน Incident Report ของหน่วยงาน,5,100,69,70-79,80-89,90-99,100
,2,3,5,PPCH-202003-007,อัตราบุคลากรได้รับการ Training ตามแผนอบรมรายบุคคล IDP,10,80,64,65-69,70-74,75-79,80
,2,3,1,PPCH-202003-008,IPD Revenue Growth,20,25.1,9.9,10-14.9,15-19.9,20-24.9,25
,2,3,1,PPCH-202003-008,%ROS,10,55,33.9,34-39.5,40.5-46,47-52.5,53.5
,2,3,3,PPCH-202003-008,Job Growth,15,19.5,9.9,10-12.9,13-15.9,16-18.9,19
,2,1,3,PPCH-202003-008,จำนวนข้อร้องเรียนด้านพฤติกรรมบริการจากผู้รับบริการ,15,3,6.8,6.7-6.3,6.2-5.7,5.6-5.1,5
,2,2,4,PPCH-202003-008,Discharge Waiting Time - Self-pay < 60 min.(แพทย์สั่งD/C-Financial D/C),2.5,90,59,60-69,70-79,80-89,90
,2,2,4,PPCH-202003-008,Discharge Waiting Time  -  Insurance < 120 min.(แพทย์สั่งD/C-Financial D/C),2.5,90,59,60-69,70-79,80-89,90
,2,2,4,PPCH-202003-008,Medication error : Admin Error,5,2,3.6,3.5-3.1,3-2.6,2.5-2.1,2
,2,1,4,PPCH-202003-008,Unplanned ICU  ,2,0,4,3,2,1,0
,2,1,4,PPCH-202003-008,จำนวนการเกิดอุบัติการณ์การเกิดพลัดตกหกล้ม,3,0,4,3,2,1,0
,2,1,4,PPCH-202003-008,จำนวนการเกิดอุบัติการณ์ภาวะ Phlebitis ระดับ 2 ขึ้นไป,2,0,4,3,2,1,0
,2,1,4,PPCH-202003-008,จำนวนการเกิดเด็กชักจากไข้สูง,3,0,4,3,2,1,0
,2,2,4,PPCH-202003-008,อัตราความสมบูรณ์ของการบันทึกทางการพยาบาล,5,90,59,60-69,70-79,80-89,90
,2,2,4,PPCH-202003-008,อัตราการทบทวน Incident Report ของหน่วยงาน,5,100,69,70-79,80-89,90-99,100
,2,3,5,PPCH-202003-008,อัตราบุคลากรได้รับการ Training ตามแผนอบรมรายบุคคล IDP,10,80,64,65-69,70-74,75-79,80
,2,3,1,PPCH-202003-009,% Medicine Rev. to Total Rev.  ,7,32,24,25-26,27-28,29-30,31
,2,3,1,PPCH-202003-009,% Medical Supply Rev. to Total Rev. ,7,7,5.5,5.6-5.9,6.0-6.4,6.5-6.9,7
,2,3,1,PPCH-202003-009,% Margin Medicine,7,65,49,50-54,55-59,60-64,65
,2,3,1,PPCH-202003-009,% Margin Medical supply,7,70,54,55-59,60-61,65-69,70
,2,3,1,PPCH-202003-009,% ROS,7,65,49,50-54,55-59,60-64,65
,2,1,3,PPCH-202003-009,จำนวนข้อร้องเรียนด้านพฤติกรรมบริการจากผู้รับบริการ,20,2,79,80-84,85-89,90-94,95
,2,2,4,PPCH-202003-009,Waiting Time for Medications OPD <15 min  ,5,90,59,60-69,70-79,80-89,90
,2,2,4,PPCH-202003-009,"อัตราความคลาดเคลื่อนในการจัดยา OPD : 1,000 Prescription",5,2,3.6,3.5-3.1,3-2.6,2.5-2.1,2
,2,2,4,PPCH-202003-009,"อัตราความคลาดเคลื่อนในการจัดยา IPD : 1,000 Patient Day",5,10,11.6,11.5-11.1,11-10.6,10.5-10.1,10
